emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust,pred_neg,pred_pos,pred_neut,pred_sent_score
🖋,0.0637606697979999,0.07210702901216548,0.06824015262753323,0.07065016325193907,0.0687986617470396,0.04902154022763337,0.07727107434993678,0.08707672267266789,0.14840272068977356,0.26915234327316284,0.582444965839386,0.12074962258338928
👌🏾,0.06844854115411456,0.07928655347034896,0.06654759863847791,0.06528162207912637,0.06979267896217412,0.06179192507098161,0.07830463622090755,0.0770822585688097,0.033160291612148285,0.6337721943855286,0.33306753635406494,0.6006119027733803
📮,0.06897266851184973,0.08836772986321224,0.07187088224610974,0.07155880585795735,0.07466220894004473,0.0628393294769843,0.08377924276023682,0.09234072969051958,0.194838285446167,0.2522684633731842,0.5528932213783264,0.05743017792701721
♊️,0.07256390207878562,0.0811852191936083,0.08358654226945557,0.08128604369950602,0.07601993791288644,0.059664912189751715,0.0853276230380594,0.08833600088466846,0.08262698352336884,0.2555173337459564,0.6618556380271912,0.17289035022258759
👨,0.07719297684201547,0.060307013157824614,0.08020832749990674,0.06874999499992007,0.07176534565781129,0.08865130934200219,0.07357455605254601,0.0705592053946548,0.07847762852907181,0.18526427447795868,0.7362581491470337,0.10678664594888687
😑,0.07747707008297625,0.08899704485231674,0.07303055347519304,0.07631544486791447,0.07618084819476498,0.060591506092297596,0.08489375415680518,0.0921001415499731,0.6236438155174255,0.07723915576934814,0.2991170287132263,-0.5464046597480774
📕,0.06766184087422211,0.08251293815211952,0.06377288504796151,0.06762697847857177,0.07005817806632021,0.05726383312325742,0.07859470945476897,0.08162020617844012,0.17044904828071594,0.24772383272647858,0.5818271636962891,0.07727478444576263
📂,0.06933303010629671,0.052216319637715836,0.07908282432772912,0.063984546218204,0.06396739210109789,0.05128886855590087,0.07178679021739688,0.05930453453304169,0.1757979393005371,0.2434585839509964,0.5807434916496277,0.06766064465045929
👮,0.06151026707355343,0.043683763791470306,0.05550751496633106,0.052944661322821246,0.050855571494596304,0.016047773430740032,0.05706892758974592,0.054526205467940694,0.2586120069026947,0.13697688281536102,0.6044111251831055,-0.12163512408733368
😧,0.07326175942279804,0.0782937166747251,0.06934135673647826,0.06882264942647548,0.07141727043622444,0.059748862391036606,0.0801240043196087,0.08134716123253706,0.6292322278022766,0.0553603321313858,0.3154074251651764,-0.5738718956708908
🇦🇷,0.06463804876573187,0.08392024833211469,0.06488964620471152,0.06269848579064419,0.06853304847862622,0.052360171805791444,0.07691147488144998,0.08041600805221827,0.09663544595241547,0.1527147740125656,0.7506497502326965,0.056079328060150146
🗺,0.0784823082625707,0.08811538468805596,0.06265378528962476,0.06789563478527551,0.07308816187716306,0.06904874630100004,0.08199003420763123,0.07750522632676089,0.20807281136512756,0.1842135339975357,0.6077136397361755,-0.023859277367591858
🏺,0.0746705741717576,0.08149941876658112,0.07417711013783525,0.07441274036514735,0.07396477049237199,0.06287231515614014,0.08308397058485058,0.08277601907297935,0.08009004592895508,0.28085365891456604,0.6390562653541565,0.20076361298561096
👵🏿,0.07191798174905045,0.07668185544409772,0.06594124765903876,0.07218408400978221,0.07040944980387612,0.05487942497869413,0.0789954840082545,0.08151578594534484,0.13674069941043854,0.19344528019428253,0.6698140501976013,0.056704580783843994
🖖🏿,0.08613892405700611,0.07297881065940796,0.05981869726180979,0.06639875396060888,0.05981869726180979,0.0681933148784632,0.08135342827606129,0.09630810259151376,0.1643178015947342,0.18184775114059448,0.6538344025611877,0.01752994954586029
👊,0.06675062584975532,0.07789494451523661,0.06109591006313833,0.06310902619402306,0.0679532403595965,0.05467825187287214,0.07649085366646893,0.08082156672919817,0.013373734429478645,0.6326068043708801,0.354019433259964,0.6192330699414015
🆓,0.08107043859277555,0.07796341961448977,0.0826847840619095,0.07725034066905449,0.07513706019412003,0.055362495732839,0.0843636299825918,0.08529654670237523,0.12705771625041962,0.23197627067565918,0.64096599817276,0.10491855442523956
🐋,0.09354633714649696,0.09958607750687531,0.07334517927061676,0.08734367734932477,0.08354120901026829,0.07235160866410352,0.09389027231211043,0.10151874496805754,0.11061910539865494,0.34190165996551514,0.5474792718887329,0.2312825545668602
🖥,0.06866719265021606,0.08754594180662895,0.08450130234860154,0.07510889939301801,0.0741456941129962,0.05382206806169724,0.08319879200978608,0.08226334627832367,0.22518369555473328,0.2708408236503601,0.503975510597229,0.04565712809562683
♥️,0.078220353150188,0.0904651557190197,0.08108773483646074,0.07420007931507971,0.07873479469199085,0.07126715159714818,0.0885344216518086,0.09292729446429254,0.007088121492415667,0.8510273694992065,0.14188453555107117,0.8439392480067909
🇷🇸,0.06409046128599424,0.071168308442156,0.06349069193527138,0.06834041879743125,0.06654138695891573,0.04957078337860233,0.07467980486082267,0.07741736339574734,0.08694829791784286,0.12519310414791107,0.7878586053848267,0.03824480623006821
