unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F4AA,💪,0.03,0.31,0.0,0.0,0.42,0.0,0.08,0.31,0.806704098,Miscellaneous Symbols and Pictographs,0.626770538243626,0.0722379603399433,0.3009915014164306,0.5545325779036827,Positive,Positive,Positive,Positive,joy
1F4AB,💫,0.0,0.19,0.0,0.06,0.44,0.0,0.19,0.11,0.614437663,Miscellaneous Symbols and Pictographs,0.5403225806451613,0.0403225806451612,0.4193548387096774,0.4999999999999999,Positive,Positive,Positive,Positive,joy
1F4AD,💭,0.11,0.64,0.11,0.11,0.17,0.11,0.17,0.22,0.687954711,Miscellaneous Symbols and Pictographs,0.3809523809523809,0.1746031746031746,0.4444444444444444,0.2063492063492063,Neutral,Positive,Neutral,Positive,anticipation
1F4AF,💯,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53,0.871819418,Miscellaneous Symbols and Pictographs,0.4015625,0.28125,0.3171875,0.1203124999999999,Neutral,Neutral,Neutral,Positive,joy
1F4B0,💰,0.0,0.58,0.0,0.06,0.47,0.06,0.25,0.36,0.827466509,Miscellaneous Symbols and Pictographs,0.4093567251461988,0.1578947368421052,0.4327485380116959,0.2514619883040935,Positive,Positive,Neutral,Positive,anticipation
1F4F7,📷,0.0,0.19,0.03,0.0,0.14,0.0,0.08,0.08,0.489732992,Miscellaneous Symbols and Pictographs,0.5316455696202531,0.1012658227848101,0.3670886075949367,0.430379746835443,Positive,Positive,Positive,Positive,anticipation
1F51E,🔞,0.11,0.11,0.08,0.03,0.08,0.11,0.0,0.19,0.814490975,Miscellaneous Symbols and Pictographs,0.2307692307692307,0.2692307692307692,0.5,-0.0384615384615384,Neutral,Neutral,Neutral,Negative,trust
1F525,🔥,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14,0.61555041,Miscellaneous Symbols and Pictographs,0.2629969418960244,0.1238532110091743,0.6131498470948012,0.1391437308868501,Neutral,Neutral,Neutral,Positive,anger
1F52B,🔫,0.44,0.14,0.17,0.14,0.03,0.14,0.0,0.11,0.893761284,Miscellaneous Symbols and Pictographs,0.2981878088962109,0.4925864909390445,0.2092257001647446,-0.1943986820428336,Negative,Negative,Negative,Negative,anger
1F534,🔴,0.08,0.06,0.0,0.11,0.0,0.03,0.19,0.0,0.655928061,Miscellaneous Symbols and Pictographs,0.4375,0.0416666666666666,0.5208333333333334,0.3958333333333333,Positive,Positive,Positive,Positive,surprise
1F600,😀,0.06,0.22,0.06,0.06,0.69,0.06,0.14,0.25,0.786284933,Emoticons,0.6538461538461539,0.085972850678733,0.2601809954751131,0.5678733031674208,Positive,Positive,Positive,Positive,joy
